"FILENAME","SAMPLINGRATE","BIT","DURATION","CHANNELS","INDEX","MAX_FREQ","DB_THRESHOLD","FREQ_STEPS","LEFT_CHANNEL","RIGHT_CHANNEL","aru","site"
"20210524_111000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.143929,"NA ","aru01","lwma"
"20210524_112000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.103654,"NA ","aru01","lwma"
"20210524_113000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.105204,"NA ","aru01","lwma"
"20210524_114000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.093824,"NA ","aru01","lwma"
"20210524_115000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.064215,"NA ","aru01","lwma"
"20210524_120000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.253302,"NA ","aru01","lwma"
"20210524_121000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.136694,"NA ","aru01","lwma"
"20210524_122000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.551989,"NA ","aru01","lwma"
"20210524_123000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.233087,"NA ","aru01","lwma"
"20210524_124000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.716467,"NA ","aru01","lwma"
"20210524_125000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.205542,"NA ","aru01","lwma"
"20210613_050000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.785034,"NA ","aru01","lwma"
"20210613_051000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.087807,"NA ","aru01","lwma"
"20210613_052000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.150756,"NA ","aru01","lwma"
"20210613_053000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.133401,"NA ","aru01","lwma"
"20210613_054000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.227307,"NA ","aru01","lwma"
"20210613_055000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.39974,"NA ","aru01","lwma"
"20210613_060000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.13386,"NA ","aru01","lwma"
"20210613_061000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.378083,"NA ","aru01","lwma"
"20210613_062000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.581524,"NA ","aru01","lwma"
"20210613_063000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.209093,"NA ","aru01","lwma"
"20210613_064000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.051588,"NA ","aru01","lwma"
"20210613_065000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.204036,"NA ","aru01","lwma"
"20210613_070000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.267875,"NA ","aru01","lwma"
"20210613_071000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.095902,"NA ","aru01","lwma"
"20210613_072000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.449247,"NA ","aru01","lwma"
"20210613_073000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.030269,"NA ","aru01","lwma"
"20210613_074000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.100269,"NA ","aru01","lwma"
