FILENAME,SAMPLINGRATE,BIT,DURATION,CHANNELS,INDEX,FFT_W,MIN_FREQ,MAX_FREQ,LEFT_CHANNEL,RIGHT_CHANNEL
20210517_050000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.72304111785657,NA 
20210517_051000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.59665759606157,NA 
20210517_052000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.54848819569507,NA 
20210517_053000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.60409957361047,NA 
20210517_054000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.5325672835967,NA 
20210517_055000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.52483155648612,NA 
20210517_060000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.61394422364677,NA 
20210517_061000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.54981392390686,NA 
20210517_062000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.53683339211675,NA 
20210517_063000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.34012554605037,NA 
20210517_064000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.35509169280076,NA 
20210517_065000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.37631449288221,NA 
20210517_070000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.4948881081279,NA 
20210517_071000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.50044724341253,NA 
20210517_072000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.49921579574985,NA 
20210517_073000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.45002067761777,NA 
20210517_074000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.35385102002091,NA 
20210517_075000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.49065472073681,NA 
20210517_080000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.58184693409173,NA 
20210517_081000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.59493869858919,NA 
20210517_082000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.52343650460573,NA 
20210517_083000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.59041217981882,NA 
20210517_084000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.63390301285146,NA 
20210517_085000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.65058415025264,NA 
20210517_090000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.70703897184541,NA 
20210517_091000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.74910720283678,NA 
20210517_092000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.68532570086079,NA 
20210517_093000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.64684891788474,NA 
20210517_094000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.53481906970733,NA 
20210517_095000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.64099495020471,NA 
20210517_100000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.50182116028425,NA 
20210517_101000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.4973704100396,NA 
20210517_102000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.3775438473713,NA 
