"filename","samplingrate","bit","duration","channels","index","fft_w","min_freq","max_freq","left_channel","right_channel","aru","year","month","day","hour","min","second","date","time","date_time"
"20210517_092000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,4.79396804241914,"NA ","aru04","2021","05","17","09","20","00","2021-05-17","09:20:00",2021-05-17 09:20:00
"20210517_093000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,6.26752520440752,"NA ","aru04","2021","05","17","09","30","00","2021-05-17","09:30:00",2021-05-17 09:30:00
"20210517_094000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,5.75919160361255,"NA ","aru04","2021","05","17","09","40","00","2021-05-17","09:40:00",2021-05-17 09:40:00
"20210517_095000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,3.93609526443006,"NA ","aru04","2021","05","17","09","50","00","2021-05-17","09:50:00",2021-05-17 09:50:00
"20210517_100000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,4.71884930196992,"NA ","aru04","2021","05","17","10","00","00","2021-05-17","10:00:00",2021-05-17 10:00:00
"20210517_101000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,3.54411365903611,"NA ","aru04","2021","05","17","10","10","00","2021-05-17","10:10:00",2021-05-17 10:10:00
"20210517_102000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,6.51316779805561,"NA ","aru04","2021","05","17","10","20","00","2021-05-17","10:20:00",2021-05-17 10:20:00
"20210517_103000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,1.78332739985935,"NA ","aru04","2021","05","17","10","30","00","2021-05-17","10:30:00",2021-05-17 10:30:00
"20210517_104000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,2.08016469411321,"NA ","aru04","2021","05","17","10","40","00","2021-05-17","10:40:00",2021-05-17 10:40:00
"20210517_105000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,6.0722009940989,"NA ","aru04","2021","05","17","10","50","00","2021-05-17","10:50:00",2021-05-17 10:50:00
"20210517_110000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,2.80168149874922,"NA ","aru04","2021","05","17","11","00","00","2021-05-17","11:00:00",2021-05-17 11:00:00
"20210517_111000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,2.21468319776932,"NA ","aru04","2021","05","17","11","10","00","2021-05-17","11:10:00",2021-05-17 11:10:00
"20210517_112000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,1.89454211242772,"NA ","aru04","2021","05","17","11","20","00","2021-05-17","11:20:00",2021-05-17 11:20:00
