"FILENAME","SAMPLINGRATE","BIT","DURATION","CHANNELS","INDEX","MAX_FREQ","DB_THRESHOLD","FREQ_STEPS","LEFT_CHANNEL","RIGHT_CHANNEL","aru","site","FFT_W","MIN_FREQ","J"
"20210517_074000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_075000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_080000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_081000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_082000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_083000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_084000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_085000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_090000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_091000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_092000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_093000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_094000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_095000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_100000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_101000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_102000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_103000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_104000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_105000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_110000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_111000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_112000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_113000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_114000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_115000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_120000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_121000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_122000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_123000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_124000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_125000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210518_050000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210518_051000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210518_052000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210518_053000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210518_054000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210518_055000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210518_060000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210518_061000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
