Station_ID, Name, Latitude, Longitude, Elevation (ft), Date_Time (UTC),Peak_Wind Direction (Degrees), Peak_Wind Speed (mph), Wind Direction 10m (deg), Wind Gust 10m (kn), Wind Speed 10m (kn), 
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T10:50:00Z,null,null,230,,5,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T10:51:00Z,null,null,230,,6,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T10:55:00Z,null,null,230,,5,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T11:00:00Z,null,null,230,,6,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T11:05:00Z,null,null,240,,7,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T11:10:00Z,null,null,240,,8,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T11:15:00Z,null,null,230,,6,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T11:20:00Z,null,null,230,,5,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T11:25:00Z,null,null,220,,5,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T11:30:00Z,null,null,230,,5,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T11:35:00Z,null,null,240,,5,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T11:40:00Z,null,null,220,,5,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T11:45:00Z,null,null,210,,5,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T11:50:00Z,null,null,210,,6,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T11:51:00Z,null,null,210,,6,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T11:55:00Z,null,null,200,,6,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T12:00:00Z,null,null,210,,7,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T12:05:00Z,null,null,200,,8,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T12:10:00Z,null,null,210,,7,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T12:15:00Z,null,null,210,,7,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T12:20:00Z,null,null,200,,9,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T12:25:00Z,null,null,200,,8,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T12:30:00Z,null,null,200,,9,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T12:35:00Z,null,null,200,,8,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T12:40:00Z,null,null,200,,8,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T12:45:00Z,null,null,200,,8,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T12:50:00Z,null,null,210,,7,
