filename,samplingrate,bit,duration,channels,index,fft_w,min_freq,max_freq,j,left_channel,right_channel,aru,year,month,day,hour,min,second,date,time,date_time,site
20210521_113000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1271.28917,NA ,aru01,sswma,,,,,,,,,
20210521_114000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1292.200137,NA ,aru01,sswma,,,,,,,,,
20210521_115000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1247.273122,NA ,aru01,sswma,,,,,,,,,
20210521_120000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1279.459369,NA ,aru01,sswma,,,,,,,,,
20210521_121000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1235.29092,NA ,aru01,sswma,,,,,,,,,
20210521_122000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1250.116785,NA ,aru01,sswma,,,,,,,,,
20210521_123000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1250.971923,NA ,aru01,sswma,,,,,,,,,
20210521_124000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1255.345376,NA ,aru01,sswma,,,,,,,,,
20210521_125000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1268.495537,NA ,aru01,sswma,,,,,,,,,
20210522_050000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1270.448465,NA ,aru01,sswma,,,,,,,,,
20210522_051000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1270.164619,NA ,aru01,sswma,,,,,,,,,
20210522_052000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1272.875428,NA ,aru01,sswma,,,,,,,,,
20210522_053000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1293.171202,NA ,aru01,sswma,,,,,,,,,
20210522_054000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1287.388156,NA ,aru01,sswma,,,,,,,,,
20210522_055000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1295.52717,NA ,aru01,sswma,,,,,,,,,
20210522_060000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1346.294782,NA ,aru01,sswma,,,,,,,,,
20210522_061000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1338.755559,NA ,aru01,sswma,,,,,,,,,
20210522_062000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1309.676892,NA ,aru01,sswma,,,,,,,,,
20210522_063000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1320.00392,NA ,aru01,sswma,,,,,,,,,
20210522_064000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1317.36331,NA ,aru01,sswma,,,,,,,,,
20210522_065000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1330.109115,NA ,aru01,sswma,,,,,,,,,
20210522_070000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1289.364815,NA ,aru01,sswma,,,,,,,,,
20210522_071000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1316.891463,NA ,aru01,sswma,,,,,,,,,
